date,impl_corr,ndx_iv,rolling_mean,rolling_std,z_score,vix,iv,vxn_level,impl_corr_level,vix_level,vix_percentile,vix_volatility,vix_change_5d,vix_change_20d,corr_momentum_5d,corr_momentum_20d,corr_ma_252,corr_mean_reversion,corr_percentile,zscore_momentum_5d,index_iv,index_iv_change_5d,vix_vxn_spread,zscore_rolling_mean,zscore_rolling_std,extreme_zscore,days_since_extreme,vix_regime,future_corr,corr_change,short_pnl,long_pnl,target,target_short,target_long,target_pnl
2010-03-30,0.1887944395420535,16.7,0.1520035223066392,0.0485962102273568,0.7570737936824369,17.13,17.159,18.23,0.1887944395420535,17.13,,,,,,,,,,,16.7,,-1.1000000000000014,,,0,0,1.0,0.1525358884123421,-0.03625855112971138,0.25380985790797966,-0.25380985790797966,0.0,1,0,0.25380985790797966
2010-03-31,0.2007911818099565,16.76,0.1536711498222117,0.0485237443302564,0.9710716400416692,17.59,16.912,18.32,0.2007911818099565,17.59,,,,,,,,,,,16.76,,-0.7300000000000004,,,0,1,1.0,0.1338475521082983,-0.06694362970165821,0.46860540791160743,-0.46860540791160743,0.0,1,0,0.46860540791160743
2010-04-01,0.1936890950198082,16.72,0.1554272775410524,0.0480226788401205,0.7967447548300861,17.47,17.613,18.76,0.1936890950198082,17.47,,,,,,,,,,,16.72,,-1.2900000000000027,,,0,2,1.0,0.1147539663989762,-0.07893512862083199,0.552545900345824,-0.552545900345824,0.0,1,0,0.552545900345824
2010-04-05,0.1738634492368696,16.39,0.1569566753516734,0.047100160337302,0.3589536376122799,17.02,16.9,18.52,0.1738634492368696,17.02,,,,,,,,,,,16.39,,-1.5,,,0,3,1.0,0.124863197362663,-0.049000251874206605,0.34300176311944625,-0.34300176311944625,0.0,1,0,0.34300176311944625
2010-04-06,0.1558621494955954,15.76,0.1584017557518792,0.0456690856814731,-0.0556088701665005,16.23,15.815,17.83,0.1558621494955954,16.23,,,,,,,,,,,15.76,,-1.5999999999999979,,,0,4,1.0,0.1117127873724142,-0.0441493621231812,0.3090455348622684,-0.3090455348622684,0.0,1,0,0.3090455348622684
2010-04-07,0.1525358884123421,15.72,0.1598788193020909,0.0439625155305421,-0.167027086624456,16.62,15.978,17.7,0.1525358884123421,16.62,,,-0.02977232924693507,,-0.03625855112971138,,,,,-0.9241008803068929,15.72,-0.05868263473053881,-1.0799999999999983,,,0,5,1.0,0.1110392190837863,-0.04149666932855581,0.2904766852998907,-0.2904766852998907,0.0,1,0,0.2904766852998907
2010-04-08,0.1338475521082983,15.37,0.1608984307055467,0.0425937624091587,-0.6350901415422225,16.48,15.664,17.29,0.1338475521082983,16.48,,,-0.06310403638430928,,-0.06694362970165821,,,,,-1.6061617815838918,15.37,-0.08293556085918863,-0.8099999999999987,,,0,6,1.0,0.1157902469738966,-0.018057305134401694,0.12640113594081187,-0.12640113594081187,0.0,1,0,0.12640113594081187
2010-04-09,0.1147539663989762,14.56,0.161609183039633,0.0414268591302138,-1.1310347350587306,16.14,15.165,16.54,0.1147539663989762,16.14,,,-0.0761305094447624,,-0.07893512862083199,,,,,-1.9277794898888168,14.56,-0.1291866028708133,-0.3999999999999986,,,0,7,1.0,0.1469624407324417,0.03220847433346549,-0.22545932033425845,0.22545932033425845,1.0,0,1,-0.22545932033425845
2010-04-12,0.124863197362663,15.02,0.1627121200131186,0.0394752001009647,-0.9588025533410938,15.58,15.131,16.37,0.124863197362663,15.58,,,-0.08460634547591062,,-0.049000251874206605,,,,,-1.3177561909533737,15.02,-0.08358755338621116,-0.7900000000000009,,,0,8,1.0,0.1397004060174755,0.014837208654812487,-0.1038604605836874,0.1038604605836874,1.0,0,1,-0.1038604605836874
2010-04-13,0.1117127873724142,14.54,0.1635303465387943,0.0378402894283969,-1.3693753390663568,16.2,15.142,15.97,0.1117127873724142,16.2,,,-0.001848428835489857,,-0.0441493621231812,,,,,-1.3137664688998563,14.54,-0.0774111675126904,0.22999999999999865,,,0,9,1.0,0.1273247289619633,0.015611941589549108,-0.10928359112684376,0.10928359112684376,1.0,0,1,-0.10928359112684376
2010-04-14,0.1110392190837863,14.46,0.1643955016115887,0.0359595633153961,-1.4837856082906848,15.59,14.608,16.02,0.1110392190837863,15.59,,,-0.06197352587244287,,-0.04149666932855581,,,,,-1.3167585216662288,14.46,-0.08015267175572516,-0.4299999999999997,,,0,10,1.0,0.1176921376511388,0.006652918567352492,-0.046570429971467445,0.046570429971467445,2.0,0,0,-0.046570429971467445
2010-04-15,0.1157902469738966,14.72,0.1654335572529775,0.0335205119493295,-1.4809830576013558,15.89,15.043,16.54,0.1157902469738966,15.89,,,-0.03580097087378642,,-0.018057305134401694,,,,,-0.8458929160591333,14.72,-0.04229017566688342,-0.6499999999999986,,,0,11,1.0,0.1165690006508789,0.0007787536769822967,-0.005451275738876077,0.005451275738876077,2.0,0,0,-0.005451275738876077
2010-04-16,0.1469624407324417,15.74,0.1667542596492001,0.031077405869329,-0.636855566387263,18.36,16.215,17.78,0.1469624407324417,18.36,,,0.13754646840148688,,0.03220847433346549,,,,,0.4941791686714676,15.74,0.08104395604395598,0.5799999999999983,,,0,12,1.0,0.1421079298863919,-0.004854510846049792,0.033981575922348545,-0.033981575922348545,2.0,0,0,0.033981575922348545
2010-04-19,0.1397004060174755,15.49,0.1674893865948211,0.0298635415192182,-0.9305319852791876,17.34,16.811,17.89,0.1397004060174755,17.34,,,0.11296534017971749,,0.014837208654812487,,,,,0.0282705680619062,15.49,0.0312916111850865,-0.5500000000000007,,,0,13,1.0,0.1995400116362659,0.0598396056187904,-0.41887723933153276,0.41887723933153276,1.0,0,1,-0.41887723933153276
2010-04-20,0.1273247289619633,14.53,0.1665056552385947,0.0302020039103713,-1.2972955831972723,15.73,14.789,16.43,0.1273247289619633,15.73,,,-0.02901234567901223,,0.015611941589549108,,,,,0.07207975586908444,14.53,-0.0006877579092159358,-0.6999999999999993,,,0,14,1.0,0.2568355767587882,0.1295108477968249,-0.9065759345777743,0.9065759345777743,1.0,0,1,-0.9065759345777743
